Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
IG_PILOTBars1_SES01, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
28.91, 0, 16.91, 141,                              0, 16.91, 126,                              0, 16.91, 731, 0.0,                              45
28.99, 0, 16.99, 142,                              0, 16.99, 126,                              0, 16.99, 734, 0.0,                              45
29.07, 0, 17.07, 143,                              0, 17.07, 127,                              0, 17.07, 738, 0.0,                              45
29.15, 0, 17.15, 144,                              0, 17.15, 127,                              0, 17.15, 741, 0.0,                              45
29.23, 0, 17.23, 144,                              0, 17.23, 128,                              0, 17.23, 745, 0.0,                              45
29.31, 0, 17.31, 145,                              0, 17.31, 129,                              0, 17.31, 748, 0.0,                              45
29.41, 0, 17.4, 146,                              0, 17.4, 129,                              0, 17.4, 752, 0.0,                              45
29.5, 0, 17.5, 146,                              0, 17.5, 130,                              0, 17.5, 756, 0.0,                              45
29.58, 0, 17.58, 147,                              0, 17.58, 131,                              0, 17.58, 760, 0.0,                              45
29.66, 0, 17.66, 148,                              0, 17.66, 131,                              0, 17.66, 763, 0.0,                              45
29.76, 0, 17.75, 149,                              0, 17.75, 132,                              0, 17.75, 768, 0.0,                              45
29.84, 0, 17.83, 149,                              0, 17.83, 132,                              0, 17.83, 771, 0.0,                              45
29.92, 0, 17.91, 150,                              0, 17.91, 133,                              0, 17.91, 774, 0.0,                              45
30.0, 0, 17.99, 151,                              0, 17.99, 134,                              0, 17.99, 778, 0.0,                              45
30.08, 0, 18.07, 151,                              0, 18.07, 134,                              0, 18.07, 781, 0.0,                              45
30.15, 0, 18.15, 152,                              0, 18.15, 135,                              0, 18.15, 785, 0.0,                              45
30.25, 0, 18.24, 153,                              0, 18.24, 136,                              0, 18.24, 789, 0.0,                              45
30.33, 0, 18.32, 153,                              0, 18.32, 136,                              0, 18.32, 792, 0.0,                              45
30.42, 0, 18.42, 154,                              0, 18.42, 137,                              0, 18.42, 796, 0.0,                              45
30.5, 0, 18.5, 155,                              0, 18.5, 137,                              0, 18.5, 800, 0.0,                              0
30.6, 0, 18.59, 156,                              0, 18.59, 138,                              0, 18.59, 804, 0.0,                              0
30.69, 0, 18.69, 156,                              0, 18.69, 139,                              0, 18.69, 808, 0.0,                              0
30.77, 0, 18.76, 157,                              0, 18.76, 139,                              0, 18.77, 812, 0.0,                              0
30.85, 0, 18.84, 158,                              0, 18.84, 140,                              0, 18.84, 815, 0.0,                              0
30.93, 0, 18.93, 159,                              0, 18.93, 141,                              0, 18.93, 818, 0.0,                              0
31.01, 0, 19.01, 159,                              0, 19.01, 141,                              0, 19.01, 822, 0.0,                              0
31.09, 0, 19.09, 160,                              0, 19.09, 142,                              0, 19.09, 825, 0.0,                              0
31.17, 0, 19.16, 161,                              0, 19.16, 142,                              0, 19.16, 829, 0.0,                              0
31.25, 0, 19.24, 161,                              0, 19.24, 143,                              0, 19.24, 832, 0.0,                              0
31.34, 0, 19.34, 162,                              0, 19.34, 144,                              0, 19.34, 836, 0.0,                              0
31.42, 0, 19.41, 163,                              0, 19.41, 144,                              0, 19.41, 840, 0.0,                              0
31.5, 0, 19.49, 163,                              0, 19.49, 145,                              0, 19.49, 843, 0.0,                              0
31.58, 0, 19.57, 164,                              0, 19.57, 146,                              0, 19.57, 847, 0.0,                              0
31.66, 0, 19.65, 165,                              0, 19.65, 146,                              0, 19.65, 850, 0.0,                              0
31.74, 0, 19.73, 165,                              0, 19.73, 147,                              0, 19.73, 853, 0.0,                              0
